SOA Code,SOA Name,2015 Default Urban/Rural,Urban,mixed urban/rural,Rural,20 minutes   (Yes / No),30 minutes  (Yes / No),BELFAST,DERRY,ANTRIM,ARMAGH,BALLYMENA,BALLYMONEY,BANBRIDGE,BANGOR,CARRICKFERGUS,COLERAINE,COOKSTOWN,CRAIGAVON,DOWNPATRICK,DUNGANNON,ENNISKILLEN,HOLYWOOD,LARNE,LIMAVADY,LISBURN,LURGAN,NEWRY,NEWTOWNARDS,OMAGH,PORTADOWN,STRABANE
95XX07S2,Broadway_2,Urban,5,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX08S1,Bryansburn_1,Urban,5,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX08S2,Bryansburn_2,Urban,3,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX09S1,Churchill_1,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX09S2,Churchill_2,Urban,4,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX10S1,Clandeboye_1,Urban,4,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX10S2,Clandeboye_2,Urban,4,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX10S3,Clandeboye_3,Urban,4,-,-,Y,Y,0-20min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX11S1,Conlig_1,Urban,5,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
95XX11S2,Conlig_2,Urban,2,-,-,Y,Y,20-30min,>60min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,>30min,>30min,>30min,>30min,>30min,0-20min,>30min,>30min,20-30min,>30min,>30min,0-20min,>30min,>30min,>30min
