dz11_code,IMD_rank,Income_rank,Employment_rank,Health_rank,Education_rank,Housing_rank,Access_rank,Crime_rank,IMD_decile,Income_decile,Employment_decile,Health_decile,Education_decile,Access_decile,Housing_decile,Crime_decile
S01003253,5,1,1,3,92,276,5460,436,1,1,1,1,1,9,1,1
S01003254,119,82,180,181,128,702,6208,1919,1,1,1,1,1,10,2,3
S01003255,1337,1287,1801,682,1635,587,6174,557,3,2,3,2,3,10,1,1
S01003256,195,89,261,258,878,257,6008,661,1,1,1,1,2,10,1,2
S01003257,3387,2582,4364,4200,2915,1019,1962,3990,6,4,7,7,5,4,2,7
S01003258,4487,4217,3677,3653,4721,2188,3893,5028,7,7,6,6,8,6,4,8
S01003259,3094,3132,2790,2200,4525,1588,3003,2362,5,5,5,4,7,5,3,4
S01003260,5146,4450,4191,4323,5559,5040,4295,5444,8,7,7,7,9,7,8,9
S01003261,4850,4524,3993,4121,5135,4884,5631,1747,8,7,7,7,8,9,8,3
S01003262,449,691,530,187,956,127,5159,96,1,2,1,1,2,8,1,1
S01003263,297,272,711,249,227,1035,5080,168,1,1,2,1,1,8,2,1
S01003264,2150,1832,2370,1076,2937,1296,5000,3353,4,3,4,2,5,8,2,6
S01003265,2634,2161,2766,1512,3781,1065,6427,1912,5,4,5,3,6,10,2,3
S01003266,1196,966,1157,549,1938,1530,5737,4166,2,2,2,1,3,9,3,7
S01003267,693,386,768,392,2068,662,6225,2072,2,1,2,1,4,10,2,4
S01003268,1878,1555,2065,1444,1834,1355,6365,1920,3,3,4,3,3,10,3,3
S01003269,370,373,246,514,1093,308,4236,577,1,1,1,1,2,7,1,1
S01003270,238,282,270,361,328,351,6465,175,1,1,1,1,1,10,1,1
S01003271,1117,1463,1155,434,1562,332,5585,667,2,3,2,1,3,9,1,2
S01003272,384,611,520,232,244,247,4020,778,1,1,1,1,1,7,1,2
S01003273,34,59,12,51,272,405,5627,95,1,1,1,1,1,9,1,1
S01003274,89,44,216,247,94,71,3584,1434,1,1,1,1,1,6,1,3
S01003275,882,867,651,558,1618,859,6336,1998,2,2,1,1,3,10,2,4
S01003276,5324,5445,4175,3959,4596,5145,5002,5606,9,9,7,7,8,8,8,9
S01003277,1446,1452,1418,824,2381,319,4213,2138,3,3,3,2,4,7,1,4
S01003278,2907,2552,2278,2527,3518,1191,6209,3271,5,4,4,4,6,10,2,6
S01003279,7,31,5,140,14,27,3579,93,1,1,1,1,1,6,1,1
S01003280,2024,1908,2201,908,4398,1340,4225,960,4,3,4,2,7,7,3,2
S01003281,649,808,352,557,1206,401,6245,1342,1,2,1,1,2,10,1,3
S01003282,4513,3933,3943,4904,3607,2041,6326,2211,7,7,7,8,6,10,4,4
S01003283,3859,3325,3644,2908,4053,1256,5079,3435,6,6,6,5,7,8,2,6
S01003284,840,857,669,264,2683,315,5369,2923,2,2,2,1,5,9,1,5
S01003285,1591,2600,3455,1442,163,565,6016,159,3,4,6,3,1,10,1,1
S01003286,1017,1053,763,861,2353,491,4267,876,2,2,2,2,4,7,1,2
S01003287,423,67,775,460,1217,1910,5738,2991,1,1,2,1,2,9,3,5
S01003288,4932,4562,4041,3600,5169,3752,4721,4806,8,8,7,6,8,8,6,8
S01003289,831,569,1306,1576,522,579,3651,889,2,1,3,3,1,6,1,2
S01003290,652,512,707,352,1590,372,5980,753,2,1,2,1,3,10,1,2
S01003291,296,264,294,435,356,813,4447,2677,1,1,1,1,1,7,2,5
S01003292,3691,3030,3097,4089,4035,2219,4175,3238,6,5,5,7,7,7,4,5
S01003293,108,68,171,52,375,483,6501,776,1,1,1,1,1,10,1,2
S01003294,1092,937,886,936,1543,637,5894,2287,2,2,2,2,3,10,1,4
S01003295,4173,3744,3498,2620,4476,4911,5650,4335,7,6,6,5,7,9,8,7
S01003296,24,26,44,55,46,224,5971,242,1,1,1,1,1,10,1,1
S01003297,176,294,94,760,154,423,4588,570,1,1,1,2,1,8,1,1
